"DATE","TIME PERIOD","(LFSI.M.PL.N.UNEHRT.TOTAL0.15_74.M)"
"1997-01-31","1997Jan","10.674119"
"1997-02-28","1997Feb","10.765014"
"1997-03-31","1997Mar","10.508829"
"1997-04-30","1997Apr","9.895250"
"1997-05-31","1997May","9.259453"
"1997-06-30","1997Jun","8.880647"
"1997-07-31","1997Jul","8.611076"
"1997-08-31","1997Aug","8.305480"
"1997-09-30","1997Sep","8.028752"
"1997-10-31","1997Oct","7.797248"
"1997-11-30","1997Nov","7.861126"
"1997-12-31","1997Dec","8.230201"
"1998-01-31","1998Jan","8.752992"
"1998-02-28","1998Feb","9.152085"
"1998-03-31","1998Mar","9.128787"
"1998-04-30","1998Apr","8.777644"
"1998-05-31","1998May","8.320047"
"1998-06-30","1998Jun","8.060157"
"1998-07-31","1998Jul","7.997269"
"1998-08-31","1998Aug","7.915319"
"1998-09-30","1998Sep","7.901038"
"1998-10-31","1998Oct","8.065543"
"1998-11-30","1998Nov","8.449844"
"1998-12-31","1998Dec","9.113409"
"1999-01-31","1999Jan","10.279958"
"1999-02-28","1999Feb","11.470072"
"1999-03-31","1999Mar","12.045976"
"1999-04-30","1999Apr","12.023168"
"1999-05-31","1999May","11.708345"
"1999-06-30","1999Jun","11.471222"
"1999-07-31","1999Jul","11.496080"
"1999-08-31","1999Aug","11.669215"
"1999-09-30","1999Sep","11.845379"
"1999-10-31","1999Oct","11.993334"
"1999-11-30","1999Nov","12.398374"
"1999-12-31","1999Dec","13.167891"
"2000-01-31","2000Jan","14.327742"
"2000-02-29","2000Feb","15.196551"
"2000-03-31","2000Mar","15.476893"
"2000-04-30","2000Apr","15.114936"
"2000-05-31","2000May","14.635981"
"2000-06-30","2000Jun","14.126407"
"2000-07-31","2000Jul","13.857510"
"2000-08-31","2000Aug","13.578475"
"2000-09-30","2000Sep","13.548456"
"2000-10-31","2000Oct","13.557154"
"2000-11-30","2000Nov","14.112935"
"2000-12-31","2000Dec","15.043685"
"2001-01-31","2001Jan","16.468097"
"2001-02-28","2001Feb","17.123766"
"2001-03-31","2001Mar","17.466879"
"2001-04-30","2001Apr","17.333687"
"2001-05-31","2001May","17.008869"
"2001-06-30","2001Jun","16.729644"
"2001-07-31","2001Jul","16.442737"
"2001-08-31","2001Aug","16.287693"
"2001-09-30","2001Sep","16.364899"
"2001-10-31","2001Oct","16.569655"
"2001-11-30","2001Nov","17.266098"
"2001-12-31","2001Dec","18.148705"
"2002-01-31","2002Jan","19.393928"
"2002-02-28","2002Feb","19.849258"
"2002-03-31","2002Mar","19.972468"
"2002-04-30","2002Apr","19.744161"
"2002-05-31","2002May","19.208029"
"2002-06-30","2002Jun","19.036079"
"2002-07-31","2002Jul","18.742253"
"2002-08-31","2002Aug","18.564538"
"2002-09-30","2002Sep","18.616399"
"2002-10-31","2002Oct","18.665541"
"2002-11-30","2002Nov","19.069557"
"2002-12-31","2002Dec","19.624216"
"2003-01-31","2003Jan","20.347540"
"2003-02-28","2003Feb","20.478941"
"2003-03-31","2003Mar","20.246677"
"2003-04-30","2003Apr","19.543278"
"2003-05-31","2003May","18.868806"
"2003-06-30","2003Jun","18.612111"
"2003-07-31","2003Jul","18.556619"
"2003-08-31","2003Aug","18.404004"
"2003-09-30","2003Sep","18.253169"
"2003-10-31","2003Oct","18.059691"
"2003-11-30","2003Nov","18.376975"
"2003-12-31","2003Dec","19.105192"
"2004-01-31","2004Jan","20.270047"
"2004-02-29","2004Feb","20.464368"
"2004-03-31","2004Mar","20.211072"
"2004-04-30","2004Apr","19.251691"
"2004-05-31","2004May","18.498013"
"2004-06-30","2004Jun","18.152775"
"2004-07-31","2004Jul","17.898646"
"2004-08-31","2004Aug","17.525443"
"2004-09-30","2004Sep","17.182900"
"2004-10-31","2004Oct","16.800951"
"2004-11-30","2004Nov","16.706023"
"2004-12-31","2004Dec","16.948770"
"2005-01-31","2005Jan","17.894091"
"2005-02-28","2005Feb","17.865482"
"2005-03-31","2005Mar","18.335915"
"2005-04-30","2005Apr","17.660559"
"2005-05-31","2005May","17.308532"
"2005-06-30","2005Jun","16.907518"
"2005-07-31","2005Jul","16.446014"
"2005-08-31","2005Aug","16.001844"
"2005-09-30","2005Sep","15.760495"
"2005-10-31","2005Oct","15.460576"
"2005-11-30","2005Nov","15.485278"
"2005-12-31","2005Dec","15.673442"
"2006-01-31","2006Jan","15.952798"
"2006-02-28","2006Feb","15.714119"
"2006-03-31","2006Mar","15.261721"
"2006-04-30","2006Apr","14.347317"
"2006-05-31","2006May","13.427563"
"2006-06-30","2006Jun","12.740133"
"2006-07-31","2006Jul","12.406485"
"2006-08-31","2006Aug","12.072688"
"2006-09-30","2006Sep","11.664824"
"2006-10-31","2006Oct","11.190614"
"2006-11-30","2006Nov","10.963295"
"2006-12-31","2006Dec","10.938780"
"2007-01-31","2007Jan","11.090866"
"2007-02-28","2007Feb","10.867706"
"2007-03-31","2007Mar","10.333867"
"2007-04-30","2007Apr","9.707363"
"2007-05-31","2007May","9.132740"
"2007-06-30","2007Jun","8.702797"
"2007-07-31","2007Jul","8.583320"
"2007-08-31","2007Aug","8.394010"
"2007-09-30","2007Sep","8.174820"
"2007-10-31","2007Oct","7.819889"
"2007-11-30","2007Nov","7.763511"
"2007-12-31","2007Dec","7.729257"
"2008-01-31","2008Jan","7.840108"
"2008-02-29","2008Feb","7.592622"
"2008-03-31","2008Mar","7.256134"
"2008-04-30","2008Apr","6.934093"
"2008-05-31","2008May","6.529042"
"2008-06-30","2008Jun","6.078715"
"2008-07-31","2008Jul","5.742515"
"2008-08-31","2008Aug","5.588391"
"2008-09-30","2008Sep","5.529065"
"2008-10-31","2008Oct","5.537435"
"2008-11-30","2008Nov","5.887735"
"2008-12-31","2008Dec","6.352612"
"2009-01-31","2009Jan","7.318597"
"2009-02-28","2009Feb","7.844624"
"2009-03-31","2009Mar","8.037266"
"2009-04-30","2009Apr","7.670890"
"2009-05-31","2009May","7.426643"
"2009-06-30","2009Jun","7.348589"
"2009-07-31","2009Jul","7.544149"
"2009-08-31","2009Aug","7.594297"
"2009-09-30","2009Sep","7.699343"
"2009-10-31","2009Oct","7.678950"
"2009-11-30","2009Nov","8.105933"
"2009-12-31","2009Dec","8.866303"
"2010-01-31","2010Jan","10.804759"
"2010-02-28","2010Feb","11.113362"
"2010-03-31","2010Mar","10.904566"
"2010-04-30","2010Apr","10.098082"
"2010-05-31","2010May","9.598266"
"2010-06-30","2010Jun","9.223693"
"2010-07-31","2010Jul","9.054978"
"2010-08-31","2010Aug","8.929491"
"2010-09-30","2010Sep","9.002208"
"2010-10-31","2010Oct","8.944301"
"2010-11-30","2010Nov","9.106754"
"2010-12-31","2010Dec","9.582101"
"2011-01-31","2011Jan","10.264280"
"2011-02-28","2011Feb","10.449599"
"2011-03-31","2011Mar","10.304810"
"2011-04-30","2011Apr","9.779255"
"2011-05-31","2011May","9.295189"
"2011-06-30","2011Jun","8.823147"
"2011-07-31","2011Jul","8.643833"
"2011-08-31","2011Aug","8.553706"
"2011-09-30","2011Sep","8.677995"
"2011-10-31","2011Oct","8.802197"
"2011-11-30","2011Nov","9.149316"
"2011-12-31","2011Dec","9.607955"
"2012-01-31","2012Jan","10.380880"
"2012-02-29","2012Feb","10.639349"
"2012-03-31","2012Mar","10.419063"
"2012-04-30","2012Apr","9.866767"
"2012-05-31","2012May","9.475920"
"2012-06-30","2012Jun","9.258190"
"2012-07-31","2012Jul","9.277773"
"2012-08-31","2012Aug","9.317438"
"2012-09-30","2012Sep","9.392167"
"2012-10-31","2012Oct","9.331375"
"2012-11-30","2012Nov","9.594796"
"2012-12-31","2012Dec","10.047966"
"2013-01-31","2013Jan","10.986467"
"2013-02-28","2013Feb","11.251985"
"2013-03-31","2013Mar","11.120407"
"2013-04-30","2013Apr","10.648967"
"2013-05-31","2013May","10.096920"
"2013-06-30","2013Jun","9.672934"
"2013-07-31","2013Jul","9.427291"
"2013-08-31","2013Aug","9.260388"
"2013-09-30","2013Sep","9.252283"
"2013-10-31","2013Oct","9.129376"
"2013-11-30","2013Nov","9.371010"
"2013-12-31","2013Dec","9.788571"
"2014-01-31","2014Jan","10.620565"
"2014-02-28","2014Feb","10.781314"
"2014-03-31","2014Mar","10.373092"
"2014-04-30","2014Apr","9.601509"
"2014-05-31","2014May","8.917632"
"2014-06-30","2014Jun","8.327028"
"2014-07-31","2014Jul","7.889701"
"2014-08-31","2014Aug","7.622240"
"2014-09-30","2014Sep","7.560525"
"2014-10-31","2014Oct","7.519638"
"2014-11-30","2014Nov","7.734490"
"2014-12-31","2014Dec","8.066679"
"2015-01-31","2015Jan","8.751969"
"2015-02-28","2015Feb","8.894033"
"2015-03-31","2015Mar","8.596604"
"2015-04-30","2015Apr","8.022230"
"2015-05-31","2015May","7.534359"
"2015-06-30","2015Jun","7.117229"
"2015-07-31","2015Jul","6.927251"
"2015-08-31","2015Aug","6.843522"
"2015-09-30","2015Sep","6.899194"
"2015-10-31","2015Oct","6.863272"
"2015-11-30","2015Nov","6.924779"
"2015-12-31","2015Dec","6.994399"
"2016-01-31","2016Jan","7.221231"
"2016-02-29","2016Feb","7.181441"
"2016-03-31","2016Mar","6.978900"
"2016-04-30","2016Apr","6.700717"
"2016-05-31","2016May","6.458358"
"2016-06-30","2016Jun","6.161340"
"2016-07-31","2016Jul","5.965574"
"2016-08-31","2016Aug","5.839880"
"2016-09-30","2016Sep","5.806096"
"2016-10-31","2016Oct","5.635126"
"2016-11-30","2016Nov","5.531747"
"2016-12-31","2016Dec","5.483555"
"2017-01-31","2017Jan","5.576140"
"2017-02-28","2017Feb","5.530971"
"2017-03-31","2017Mar","5.450104"
"2017-04-30","2017Apr","5.432382"
"2017-05-31","2017May","5.314019"
"2017-06-30","2017Jun","5.000542"
"2017-07-31","2017Jul","4.713314"
"2017-08-31","2017Aug","4.567705"
"2017-09-30","2017Sep","4.597022"
"2017-10-31","2017Oct","4.513770"
"2017-11-30","2017Nov","4.457012"
"2017-12-31","2017Dec","4.362507"
"2018-01-31","2018Jan","4.329473"
"2018-02-28","2018Feb","4.138890"
"2018-03-31","2018Mar","3.955225"
"2018-04-30","2018Apr","3.785829"
"2018-05-31","2018May","3.743546"
"2018-06-30","2018Jun","3.771945"
"2018-07-31","2018Jul","3.963139"
"2018-08-31","2018Aug","4.027883"
"2018-09-30","2018Sep","4.052528"
"2018-10-31","2018Oct","3.847689"
"2018-11-30","2018Nov","3.707632"
"2018-12-31","2018Dec","3.577220"
"2019-01-31","2019Jan","3.584921"
"2019-02-28","2019Feb","3.458495"
"2019-03-31","2019Mar","3.355388"
"2019-04-30","2019Apr","3.284884"
"2019-05-31","2019May","3.215632"
"2019-06-30","2019Jun","3.096072"
"2019-07-31","2019Jul","3.006766"
"2019-08-31","2019Aug","2.928905"
"2019-09-30","2019Sep","2.878408"
"2019-10-31","2019Oct","2.679559"
"2019-11-30","2019Nov","2.628111"
"2019-12-31","2019Dec","2.703159"
"2020-01-31","2020Jan","3.008993"
"2020-02-29","2020Feb","3.063969"
"2020-03-31","2020Mar","3.037726"
"2020-04-30","2020Apr","3.180562"
"2020-05-31","2020May","3.273770"
"2020-06-30","2020Jun","3.250404"
"2020-07-31","2020Jul","3.143282"
"2020-08-31","2020Aug","3.033976"
"2020-09-30","2020Sep","3.002062"
"2020-10-31","2020Oct","2.954647"
"2020-11-30","2020Nov","3.060409"
"2020-12-31","2020Dec","3.361992"
"2021-01-31","2021Jan","3.921682"
"2021-02-28","2021Feb","4.187937"
"2021-03-31","2021Mar","4.116423"
"2021-04-30","2021Apr","3.817383"
"2021-05-31","2021May","3.554661"
"2021-06-30","2021Jun","3.287833"
"2021-07-31","2021Jul","3.080537"
"2021-08-31","2021Aug","2.930061"
"2021-09-30","2021Sep","2.857417"
"2021-10-31","2021Oct","2.756877"
"2021-11-30","2021Nov","2.778493"
"2021-12-31","2021Dec","2.918362"
"2022-01-31","2022Jan","3.283706"
"2022-02-28","2022Feb","3.272938"
"2022-03-31","2022Mar","2.927630"
"2022-04-30","2022Apr","2.391941"
"2022-05-31","2022May","2.217507"
"2022-06-30","2022Jun","2.312397"
"2022-07-31","2022Jul","2.729644"
"2022-08-31","2022Aug","2.977944"
"2022-09-30","2022Sep","3.166219"
"2022-10-31","2022Oct","3.025536"
"2022-11-30","2022Nov","2.947357"
"2022-12-31","2022Dec","2.954627"
"2023-01-31","2023Jan","3.131262"
"2023-02-28","2023Feb","3.086624"
"2023-03-31","2023Mar","2.866648"
"2023-04-30","2023Apr","2.544481"
"2023-05-31","2023May","2.425966"
"2023-06-30","2023Jun","2.450574"
"2023-07-31","2023Jul","2.685667"
"2023-08-31","2023Aug","2.847723"
"2023-09-30","2023Sep","2.984037"
